,0
0,0
1,1
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,1
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,1
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,1
41,1
42,0
43,1
44,0
45,0
46,1
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,0
64,0
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,0
82,1
83,0
84,0
85,0
86,0
87,1
88,1
89,0
90,0
91,0
92,0
93,0
94,1
95,0
96,1
97,0
98,1
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,0
135,0
136,0
137,1
138,0
139,1
140,1
141,0
142,0
143,0
144,1
145,0
146,1
147,1
148,1
149,1
150,1
151,1
152,0
153,1
154,1
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,0
165,1
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,1
184,1
185,0
186,0
187,0
188,1
189,1
190,1
191,0
192,1
193,1
194,0
195,0
196,0
197,0
198,1
199,1
200,0
201,0
202,0
203,1
204,0
205,1
206,1
207,0
208,1
209,0
210,1
211,0
212,0
213,0
214,0
215,1
216,0
217,0
218,0
219,1
220,1
221,0
222,1
223,0
224,0
225,0
226,0
227,1
228,1
229,0
230,1
231,1
232,1
233,0
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,1
243,1
244,0
245,1
246,0
247,1
248,1
249,0
250,0
251,0
252,1
253,1
254,0
255,0
256,1
257,0
258,0
259,0
260,1
261,1
262,1
263,1
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,1
272,0
273,1
274,1
275,1
276,1
277,0
278,1
279,1
280,0
281,0
282,0
283,0
284,1
285,0
286,0
287,1
288,0
289,0
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,1
298,0
299,1
300,0
301,0
302,0
303,0
304,0
305,1
306,0
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,1
317,0
318,0
319,0
320,0
321,0
322,1
323,1
324,1
325,0
326,1
327,1
328,0
329,0
330,0
331,0
332,0
333,0
334,1
335,0
336,0
337,1
338,1
339,1
340,0
341,0
342,0
343,0
344,0
345,0
346,1
347,1
348,0
349,1
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,1
362,0
363,0
364,0
365,1
366,1
367,0
368,1
369,0
370,0
371,1
372,1
373,0
374,0
375,0
376,0
377,1
378,0
379,0
380,0
381,1
382,0
383,1
384,1
385,1
386,0
387,0
388,1
389,1
390,1
391,0
392,0
393,1
394,0
395,0
396,1
397,0
398,0
399,0
400,1
401,0
402,0
403,0
404,1
405,1
406,0
407,1
408,0
409,1
410,1
411,0
412,0
413,0
414,0
415,0
416,1
417,0
418,1
419,0
420,0
421,0
422,0
423,1
424,0
425,1
426,1
427,0
428,1
429,0
430,0
431,1
432,1
433,1
434,1
435,1
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,1
445,1
446,0
447,0
448,1
449,0
450,0
451,0
452,0
453,1
454,0
455,0
456,1
457,0
458,0
459,1
460,0
461,0
462,1
463,0
464,0
465,0
466,1
467,0
468,0
469,1
470,1
471,0
472,0
473,0
474,0
475,1
476,1
477,0
478,1
479,0
480,1
481,1
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,1
493,0
494,1
495,0
496,0
497,0
498,0
499,0
500,1
501,0
502,1
503,0
504,0
505,1
506,1
507,0
508,1
509,0
510,1
511,1
512,1
513,0
514,0
515,0
516,0
517,0
518,1
519,0
520,1
521,1
522,0
523,1
524,0
525,0
526,1
527,1
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,1
539,0
540,0
541,0
542,1
543,0
544,0
545,0
546,1
547,1
548,0
549,0
550,0
551,0
552,1
553,1
554,1
555,0
556,1
557,1
558,0
559,1
560,1
561,0
562,1
563,0
564,1
565,1
566,0
567,0
568,0
569,1
570,0
571,1
572,0
573,1
574,0
575,0
576,0
577,0
578,1
579,1
580,0
581,1
582,1
583,1
584,0
585,1
586,1
587,0
588,1
589,1
590,0
591,1
592,0
593,1
594,0
595,0
596,1
597,0
598,0
599,0
600,0
601,0
602,1
603,0
604,0
605,0
606,1
607,0
608,0
609,0
610,0
611,0
612,0
613,1
614,0
615,0
616,1
617,0
618,0
619,1
620,1
621,1
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,1
630,0
631,0
632,1
633,0
634,0
635,0
636,1
637,0
638,1
639,0
640,1
641,1
642,0
643,0
644,1
645,1
646,1
647,0
648,0
649,0
650,0
651,1
652,0
653,1
654,0
655,0
656,0
657,1
658,1
659,1
660,0
661,0
662,1
663,0
664,0
665,0
666,1
667,1
668,0
669,0
670,0
671,0
672,1
673,0
674,0
675,0
676,1
677,0
678,0
679,1
680,0
681,0
682,0
683,1
684,1
685,0
686,0
687,0
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,0
696,0
697,0
698,0
699,0
700,1
701,1
702,0
703,0
704,0
705,0
706,1
707,1
708,0
709,0
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,0
718,1
719,1
720,0
721,1
722,1
723,0
724,0
725,0
726,1
727,1
728,0
729,0
730,1
731,0
732,0
733,0
734,1
735,0
736,1
737,0
738,1
739,0
740,0
741,1
742,1
743,0
744,0
745,0
746,0
747,1
748,0
749,0
750,0
751,1
752,0
753,1
754,0
755,0
756,0
757,0
758,0
759,1
760,1
761,0
762,0
763,1
764,0
765,0
766,0
767,0
768,0
769,1
770,1
771,0
772,1
773,1
774,1
775,1
776,1
777,0
778,0
779,0
780,1
781,0
782,1
783,1
784,1
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,1
805,1
806,0
807,0
808,0
809,0
810,0
811,1
812,0
813,1
814,1
815,1
816,0
817,0
818,1
819,0
820,1
821,0
822,1
823,0
824,0
825,1
826,0
827,0
828,1
829,0
830,0
831,0
832,0
833,1
834,0
835,1
836,0
837,1
838,1
839,1
840,0
841,0
842,1
843,1
844,0
845,1
846,1
847,0
848,0
849,0
850,1
851,0
852,0
853,0
854,0
855,1
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,1
867,1
868,1
869,1
870,1
871,1
872,0
873,0
874,0
875,0
876,0
877,0
878,1
879,1
880,1
881,0
882,0
883,0
884,0
885,0
886,0
887,1
888,0
889,1
890,0
891,0
892,1
893,0
894,0
895,0
896,0
897,0
898,0
899,1
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,1
914,0
915,0
916,1
917,1
918,1
919,0
920,0
921,1
922,0
923,1
924,0
925,1
926,0
927,0
928,1
929,0
930,1
931,0
932,0
933,1
934,1
935,0
936,0
937,0
938,1
939,0
940,1
941,0
942,1
943,0
944,0
945,0
946,1
947,0
948,0
949,1
950,1
951,1
952,0
953,1
954,0
955,1
956,1
957,1
958,0
959,0
960,0
961,1
962,1
963,0
964,0
965,0
966,0
967,0
968,1
969,0
970,0
971,1
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,1
980,0
981,1
982,0
983,0
984,0
985,1
986,1
987,0
988,0
989,1
990,0
991,1
992,0
993,1
994,0
995,0
996,1
997,1
998,0
999,0
1000,0
1001,0
1002,1
1003,0
1004,0
1005,1
1006,0
1007,0
1008,1
1009,1
1010,0
1011,1
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,1
1019,0
1020,0
1021,1
1022,1
1023,1
1024,1
1025,0
1026,0
1027,0
1028,1
1029,0
1030,0
1031,1
1032,0
1033,1
1034,0
1035,0
1036,1
1037,0
1038,0
1039,1
1040,0
1041,0
1042,1
1043,0
1044,1
1045,1
1046,0
1047,0
1048,0
1049,0
1050,1
1051,0
1052,0
1053,0
1054,1
1055,1
1056,0
1057,1
1058,0
1059,0
1060,0
