iter	Logloss
0	0.6580449174
1	0.6346904829
2	0.6218861211
3	0.6143360663
4	0.610955718
5	0.6086320487
6	0.607418522
7	0.6060307475
8	0.6051590416
9	0.6046642725
10	0.6042768072
11	0.6037323294
12	0.603593963
13	0.6032839804
14	0.6031268378
15	0.6030240696
16	0.6028898595
17	0.6027261172
18	0.6025575062
19	0.6024574818
20	0.6022831421
21	0.6022040729
22	0.6020082886
23	0.6019381572
24	0.6017911366
25	0.6017032041
26	0.6016004315
27	0.6014911931
28	0.601390196
29	0.6013283651
30	0.6012218811
31	0.6011196782
32	0.6010638566
33	0.6009731554
34	0.6008778912
35	0.6007801645
36	0.6007065242
37	0.6006387525
38	0.6005726227
39	0.6004855171
40	0.6004008692
41	0.6003333634
42	0.6002913586
43	0.6002187022
44	0.6001612635
45	0.6000959233
46	0.6000067201
47	0.599924673
48	0.5998704859
49	0.5998152082
50	0.5997784984
51	0.5997087003
52	0.5996135505
53	0.5995526568
54	0.599461462
55	0.5994062223
56	0.5993579621
57	0.5993016411
58	0.5992204685
59	0.5991813996
60	0.5991156032
61	0.5990357915
62	0.5989676091
63	0.5989305834
64	0.5988791425
65	0.5988241449
66	0.5987568809
67	0.5987096406
68	0.5986535758
69	0.5985819452
70	0.598531039
71	0.5984965853
72	0.5984289272
73	0.5983936819
74	0.5983291534
75	0.5982723202
76	0.5982102609
77	0.5981453151
78	0.5980764889
79	0.5980307825
80	0.5979581078
81	0.5979076714
82	0.5978376664
83	0.597774193
84	0.597733906
85	0.5976928983
86	0.5976427975
87	0.5975775911
88	0.5975257535
89	0.5974526853
90	0.5973806108
91	0.5973093194
92	0.5972724806
93	0.5972413453
94	0.5971786533
95	0.597137294
96	0.5970686581
97	0.5970149329
98	0.5969319349
99	0.5968960931
100	0.5968515145
101	0.596814453
102	0.5967606515
103	0.5967038589
104	0.5966423786
105	0.5966148773
106	0.5965627955
107	0.5964899008
108	0.5964595631
109	0.5964064644
110	0.5963537166
111	0.5963141542
112	0.5962448187
113	0.5961998062
114	0.5961615813
115	0.5961247472
116	0.5960170555
117	0.595974255
118	0.5959226875
119	0.5958759648
120	0.5958465392
121	0.5957955523
122	0.595742187
123	0.595667308
124	0.5956095959
125	0.595550483
126	0.5954828866
127	0.5954283517
128	0.5953821152
129	0.5953281557
130	0.5952674867
131	0.5952188196
132	0.5951498001
133	0.5950984408
134	0.595018912
135	0.5949557705
136	0.5948833063
137	0.5947916958
138	0.5947056278
139	0.5946603681
140	0.5945954815
141	0.594502286
142	0.5944343217
143	0.5943794533
144	0.5942839029
145	0.5942014692
146	0.5941340422
147	0.5940755991
148	0.5940077474
149	0.5939414708
150	0.5938578615
151	0.5937476717
152	0.5936897638
153	0.5936103437
154	0.5935205552
155	0.5934601433
156	0.5934120659
157	0.5933367255
158	0.5932484848
159	0.5931886045
160	0.5931347316
161	0.5930690478
162	0.5929997832
163	0.5929208978
164	0.5928457591
165	0.5928022225
166	0.5927366764
167	0.5926641129
168	0.5925989863
169	0.5925230614
170	0.5924817089
171	0.5924244236
172	0.5923783481
173	0.5923044669
174	0.5922088802
175	0.5921284565
176	0.5920824565
177	0.5920217888
178	0.5919411321
179	0.5918711981
180	0.5918238865
181	0.5917461093
182	0.5916707307
183	0.5916273214
184	0.5915444099
185	0.5915080974
186	0.5914674011
187	0.5914014454
188	0.5913371316
189	0.5912810998
190	0.5912302499
191	0.5911557129
192	0.5910415726
193	0.5909982634
194	0.5909291556
195	0.590877682
196	0.5908051258
197	0.5907539823
198	0.5906917861
199	0.59064765
200	0.5905635064
201	0.5904912853
202	0.5904086215
203	0.5903363117
204	0.5902984919
205	0.5902625363
206	0.5902033113
207	0.5901584183
208	0.5900812116
209	0.5900323776
210	0.589956669
211	0.5898818366
212	0.5898322443
213	0.5897514736
214	0.5896704438
215	0.5896092427
216	0.5895713996
217	0.589443125
218	0.5893940101
219	0.5893332439
220	0.5892896922
221	0.5892345965
222	0.5891472313
223	0.5890878626
224	0.5890389851
225	0.5889637644
226	0.5889046433
227	0.588864503
228	0.5888188282
229	0.5887081147
230	0.5886534119
231	0.5886099338
232	0.5885532552
233	0.5884930037
234	0.5884458244
235	0.5883911489
236	0.5883249395
237	0.5882674864
238	0.5882154335
239	0.5881488596
240	0.5880982659
241	0.5880562489
242	0.5880158535
243	0.5879392371
244	0.5879013526
245	0.5878678421
246	0.587821707
247	0.5877294035
248	0.5876827252
249	0.5876201523
250	0.5875652506
251	0.5875130734
252	0.5874503642
253	0.5873984268
254	0.5873515117
255	0.5872930617
256	0.5872315693
257	0.58716115
258	0.5870809752
259	0.5870187155
260	0.5869676003
261	0.5869015028
262	0.5868369931
263	0.5867910244
264	0.5867591476
265	0.5866946718
266	0.5866256241
267	0.5865611604
268	0.5864993565
269	0.5864192119
270	0.5863734582
271	0.5862960471
272	0.5862534317
273	0.586213463
274	0.5861472604
275	0.586091564
276	0.5859941757
277	0.5859555028
278	0.5859197878
279	0.5858807422
280	0.585818811
281	0.5857566542
282	0.5857039001
283	0.5856460223
284	0.5855931643
