iter	Passed	Remaining
0	67	67504
1	136	67891
2	204	68091
3	274	68456
4	354	70578
5	443	73405
6	478	67923
7	574	71185
8	664	73155
9	760	75332
10	846	76130
11	936	77083
12	1036	78695
13	1138	80192
14	1215	79801
15	1386	85276
16	1481	85641
17	1560	85112
18	1647	85066
19	1743	85428
20	1829	85274
21	1937	86149
22	2010	85396
23	2084	84783
24	2159	84207
25	2258	84601
26	2345	84525
27	2451	85097
28	2540	85063
29	2625	84889
30	2726	85237
31	2805	84866
32	2883	84481
33	2971	84416
34	3072	84702
35	3160	84637
36	3265	84988
37	3352	84881
38	3445	84891
39	3557	85381
40	3649	85363
41	3741	85342
42	3847	85638
43	3934	85477
44	4021	85344
45	4135	85761
46	4228	85745
47	4327	85832
48	4445	86284
49	4559	86629
50	4674	86978
51	4785	87240
52	4884	87276
53	5017	87903
54	5147	88445
55	5259	88661
56	5363	88727
57	5485	89097
58	5593	89203
59	5712	89495
60	5813	89494
61	5924	89630
62	6023	89586
63	6140	89801
64	6372	91671
65	6521	92290
66	6676	92976
67	6788	93041
68	6896	93058
69	7026	93350
70	7138	93400
71	7264	93630
72	7432	94376
73	7632	95505
74	7833	96607
75	7974	96949
76	8099	97088
77	8226	97243
78	8371	97591
79	8520	97987
80	8677	98448
81	8799	98514
82	8970	99108
83	9082	99037
84	9190	98928
85	9320	99062
86	9433	98993
87	9550	98975
88	9658	98868
89	9766	98753
90	9864	98534
91	9980	98499
92	10084	98351
93	10201	98325
94	10311	98230
95	10428	98199
96	10540	98128
97	10658	98101
98	10762	97951
99	10876	97887
100	11090	98720
101	11196	98576
102	11358	98919
103	11499	99069
104	11644	99251
105	11769	99260
106	11877	99126
107	11982	98964
108	12101	98918
109	12231	98963
110	12346	98880
111	12463	98817
112	12577	98725
113	12687	98603
114	12784	98384
115	12899	98300
116	13011	98196
117	13135	98181
118	13232	97962
119	13348	97888
120	13484	97955
121	13590	97806
122	13687	97592
123	13816	97609
124	13912	97389
125	14021	97262
126	14125	97100
127	14243	97031
128	14346	96863
129	14459	96764
130	14557	96566
131	14692	96611
132	14812	96558
133	14916	96398
134	15019	96238
135	15125	96089
136	15225	95912
137	15336	95794
138	15449	95695
139	15569	95641
140	15689	95583
141	15794	95431
142	15908	95338
143	16019	95229
144	16115	95027
145	16221	94883
146	16332	94775
147	16454	94724
148	16586	94732
149	16705	94663
150	16820	94570
151	16933	94468
152	17035	94307
153	17149	94211
154	17298	94304
155	17466	94497
156	17663	94841
157	17772	94710
158	17866	94500
159	17976	94375
160	18105	94348
161	18225	94275
162	18344	94198
163	18462	94112
164	18574	93998
165	18701	93960
166	18827	93913
167	18960	93901
168	19114	93987
169	19223	93857
170	19335	93737
171	19442	93596
172	19550	93456
173	19657	93318
174	19747	93096
175	19845	92913
176	19937	92705
177	20035	92523
178	20155	92445
179	20260	92296
180	20361	92133
181	20471	92009
182	20573	91848
183	20693	91771
184	20797	91622
185	20929	91593
186	21066	91588
187	21220	91654
188	21363	91668
189	21501	91664
190	21647	91689
191	21759	91571
192	21877	91476
193	22016	91471
194	22176	91547
195	22353	91695
196	22634	92262
197	22825	92455
198	23008	92613
199	23178	92715
200	23312	92668
201	23496	92822
202	23634	92790
203	23761	92717
204	23870	92572
205	23968	92383
206	24072	92218
207	24187	92099
208	24312	92015
209	24435	91924
210	24542	91773
211	24652	91632
212	24771	91526
213	24901	91460
214	25001	91283
215	25149	91282
216	25284	91233
217	25379	91040
218	25476	90854
219	25572	90664
220	25669	90480
221	25764	90292
222	25871	90144
223	25980	90003
224	26095	89885
225	26215	89781
226	26343	89708
227	26458	89587
228	26602	89565
229	26733	89498
230	26861	89422
231	26997	89369
232	27161	89411
233	27304	89382
234	27437	89316
235	27547	89180
236	27659	89047
237	27772	88918
238	27879	88771
239	27993	88645
240	28092	88472
241	28201	88334
242	28306	88181
243	28402	88000
244	28493	87805
245	28612	87698
246	28755	87664
247	28867	87535
248	29005	87482
249	29219	87659
250	29336	87542
251	29450	87417
252	29566	87297
253	29683	87181
254	29866	87256
255	29970	87102
256	30076	86951
257	30189	86822
258	30294	86672
259	30388	86490
260	30496	86348
261	30601	86198
262	30704	86043
263	30856	86024
264	30972	85906
265	31092	85796
266	31230	85736
267	31355	85641
268	31458	85488
269	31572	85363
270	31685	85236
271	31803	85121
272	31922	85009
273	32036	84883
274	32151	84763
275	32272	84657
276	32412	84599
277	32510	84432
278	32607	84266
279	32705	84100
280	32802	83931
281	32902	83773
282	32999	83606
283	33096	83440
284	33190	83266
285	33285	83097
286	33378	82922
287	33474	82755
288	33571	82592
289	33666	82425
290	33763	82261
291	33856	82090
292	33950	81920
293	34045	81754
294	34140	81591
295	34231	81415
296	34326	81250
297	34418	81079
298	34510	80909
299	34606	80749
300	34702	80587
301	34791	80412
302	34883	80243
303	34978	80081
304	35089	79957
305	35183	79795
306	35277	79632
307	35381	79493
308	35497	79380
309	35610	79263
310	35729	79156
311	35868	79093
312	36008	79034
313	36108	78887
314	36207	78737
315	36305	78584
316	36401	78429
317	36496	78271
318	36594	78121
319	36726	78044
320	36893	78039
321	37194	78315
322	37349	78282
323	37447	78130
324	37545	77979
325	37659	77860
326	37758	77709
327	37846	77539
328	37936	77371
329	38026	77205
330	38129	77065
331	38224	76908
332	38328	76772
333	38435	76641
334	38549	76523
335	38644	76368
336	38742	76220
337	38873	76137
338	38980	76006
339	39079	75859
340	39181	75720
341	39291	75595
342	39395	75460
343	39498	75322
344	39608	75198
345	39724	75086
346	39833	74961
347	39938	74826
348	40033	74675
349	40129	74525
350	40217	74361
351	40309	74206
352	40401	74049
353	40501	73909
354	40619	73801
355	40732	73684
356	40858	73591
357	40968	73469
358	41066	73324
359	41201	73247
360	41342	73179
361	41443	73041
362	41534	72885
363	41632	72741
364	41734	72606
365	41833	72465
366	41924	72311
367	42016	72158
368	42108	72006
369	42194	71844
370	42281	71683
371	42365	71519
372	42450	71358
373	42543	71208
374	42627	71045
375	42711	70882
376	42800	70728
377	42883	70564
378	42972	70410
379	43059	70254
380	43144	70095
381	43229	69937
382	43322	69790
383	43405	69629
384	43489	69469
385	43576	69316
386	43662	69160
387	43747	69003
388	43832	68848
389	43917	68691
390	44002	68535
391	44092	68388
392	44175	68230
393	44260	68076
394	44360	67944
395	44455	67805
396	44550	67666
397	44642	67524
398	44743	67396
399	44852	67278
400	44955	67153
401	45060	67029
402	45145	66878
403	45259	66768
404	45354	66632
405	45459	66510
406	45554	66373
407	45646	66231
408	45745	66102
409	45846	65974
410	45948	65847
411	46044	65714
412	46142	65582
413	46241	65452
414	46333	65312
415	46434	65186
416	46531	65054
417	46628	64922
418	46724	64789
419	46840	64683
420	46986	64620
421	47124	64544
422	47249	64451
423	47358	64336
424	47455	64204
425	47546	64065
426	47637	63925
427	47734	63794
428	47825	63655
429	47914	63514
430	48035	63415
431	48159	63321
432	48280	63221
433	48373	63086
434	48461	62944
435	48553	62807
436	48646	62672
437	48738	62536
438	48834	62405
439	48927	62270
440	49053	62178
441	49190	62099
442	49279	61961
443	49370	61824
444	49467	61695
445	49596	61606
446	49703	61490
447	49793	61352
448	49885	61218
449	49981	61088
450	50085	60968
451	50173	60829
452	50257	60686
453	50343	60545
454	50432	60407
455	50517	60267
456	50604	60127
