,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,0
12,1
13,0
14,0
15,1
16,1
17,0
18,0
19,1
20,1
21,0
22,0
23,0
24,1
25,0
26,1
27,1
28,0
29,0
30,0
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,0
39,0
40,0
41,1
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,0
54,1
55,1
56,0
57,1
58,0
59,0
60,0
61,0
62,1
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,1
77,1
78,1
79,0
80,1
81,0
82,1
83,0
84,0
85,1
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,0
94,1
95,0
96,1
97,0
98,0
99,0
100,0
101,0
102,1
103,0
104,1
105,0
106,1
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,1
132,1
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,1
141,0
142,1
143,0
144,1
145,1
146,1
147,0
148,1
149,0
150,1
151,1
152,1
153,0
154,0
155,1
156,1
157,1
158,0
159,1
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,1
176,0
177,0
178,0
179,1
180,0
181,0
182,0
183,1
184,1
185,0
186,1
187,0
188,0
189,1
190,1
191,1
192,1
193,1
194,0
195,0
196,0
197,0
198,1
199,0
200,0
201,1
202,0
203,0
204,1
205,1
206,1
207,0
208,1
209,0
210,0
211,0
212,1
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,1
222,0
223,0
224,0
225,0
226,1
227,1
228,0
229,0
230,1
231,1
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,1
243,0
244,1
245,1
246,0
247,0
248,1
249,0
250,0
251,0
252,1
253,0
254,1
255,1
256,0
257,1
258,0
259,0
260,0
261,1
262,1
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,1
277,0
278,1
279,1
280,0
281,0
282,0
283,1
284,1
285,0
286,1
287,1
288,0
289,1
290,1
291,1
292,0
293,1
294,0
295,0
296,0
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,1
307,1
308,0
309,1
310,0
311,0
312,0
313,0
314,0
315,0
316,1
317,0
318,0
319,0
320,0
321,1
322,1
323,0
324,1
325,1
326,0
327,0
328,0
329,0
330,1
331,0
332,1
333,0
334,0
335,0
336,1
337,1
338,0
339,0
340,0
341,1
342,0
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,1
359,0
360,0
361,1
362,0
363,0
364,1
365,1
366,0
367,1
368,0
369,0
370,1
371,1
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,0
392,0
393,0
394,0
395,0
396,1
397,0
398,0
399,1
400,0
401,1
402,1
403,0
404,1
405,0
406,0
407,0
408,0
409,1
410,1
411,1
412,0
413,0
414,0
415,0
416,1
417,0
418,1
419,0
420,1
421,0
422,0
423,1
424,0
425,0
426,0
427,0
428,1
429,1
430,0
431,1
432,0
433,1
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,1
445,1
446,0
447,1
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,0
456,1
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,1
467,1
468,1
469,0
470,1
471,0
472,1
473,0
474,1
475,1
476,0
477,0
478,1
479,0
480,1
481,1
482,0
483,0
484,0
485,0
486,1
487,1
488,0
489,0
490,0
491,0
492,1
493,0
494,1
495,0
496,0
497,0
498,0
499,0
500,1
501,0
502,1
503,0
504,0
505,0
506,1
507,0
508,1
509,0
510,1
511,1
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,1
521,1
522,0
523,0
524,0
525,0
526,1
527,0
528,0
529,1
530,0
531,0
532,0
