target_r,target_g,target_b
1,1,1
1,1,0
0,1,1
1,1,1
0,1,0
1,1,1
0,0,0
1,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
1,1,1
1,0,0
1,0,1
1,1,1
1,1,1
1,1,1
0,1,1
0,0,0
0,0,0
0,0,0
0,1,0
1,1,0
1,1,1
1,0,1
0,0,0
0,0,0
0,0,0
1,0,0
1,1,1
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
0,1,1
0,0,1
1,1,1
0,0,0
1,1,1
0,0,0
1,0,1
1,0,1
1,1,0
0,0,0
1,0,1
1,0,0
0,0,0
1,1,0
0,0,0
1,0,0
1,1,1
0,0,0
0,0,1
1,0,0
0,0,0
1,1,1
0,1,1
1,0,0
1,0,1
0,0,0
1,1,1
0,0,1
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,0,0
0,0,0
0,1,1
1,1,1
1,1,1
1,1,1
0,0,0
1,1,0
1,1,1
0,0,0
0,0,0
0,0,0
1,0,1
0,0,0
1,0,1
0,0,1
1,1,0
1,1,1
0,0,0
0,1,0
1,1,0
0,0,0
0,0,0
0,0,0
1,1,1
1,0,1
1,1,1
0,1,1
0,1,0
0,0,0
0,0,1
0,0,0
0,1,1
1,0,0
1,1,1
1,1,1
0,0,0
1,1,1
1,0,0
1,0,0
1,1,1
1,1,1
0,0,0
0,0,0
0,0,0
1,1,1
0,0,0
1,0,0
0,0,0
1,0,0
1,1,1
0,1,0
1,1,1
1,1,0
0,1,1
1,0,0
0,1,0
1,1,1
0,0,1
0,0,0
0,0,1
0,0,0
1,1,1
1,0,0
1,1,0
1,1,0
0,1,0
1,1,1
1,1,0
1,1,0
0,0,0
0,0,0
0,1,1
0,0,0
1,1,1
1,0,0
0,0,0
1,0,0
0,0,0
1,1,1
0,0,0
0,1,0
1,1,1
1,1,1
1,0,1
1,1,0
0,0,1
1,1,1
0,0,0
1,1,1
0,1,0
1,1,1
0,0,0
1,1,1
0,0,0
0,0,0
0,0,0
0,0,1
